pcn,item,mpn,current_onhand,corrected_onhand,phantom_removed,relabel_adjt_count,relabel_units,loc_to,mfg_qty
1779,8148L-15,C3216X7R2A105M160AA,1600,0,1600,1,1600,MFG Floor,1600
606,8343ML-290,CRCW0603475KFKEA,1600,0,1600,1,1600,MFG Floor,0
2123,8335ML-40,T491A106M016AT,1600,0,1600,1,1600,MFG Floor,1600
24153,7595-21,C0805C105K3RACTU,3200,1600,1600,8,1600,1506005,0
19858,8243-75,RMCF0805JT4K70,1600,0,1600,1,1600,MFG Floor,1600
1628,7989M-4,08055C103K4T2A,1550,0,1550,1,1550,MFG Floor,1550
1502,8119L-15,C1608C0G1H470JT000N,1550,0,1550,1,1550,MFG Floor,1550
2033,6458-2,06033C104KAT4A,1540,0,1540,1,1540,MFG Floor,1540
33923,8695l-5,JB2835AWT-W-U57EA0000-N0000001,1500,0,1500,1,1500,MFG Floor,1500
5294,7944-38,RC0603JR-071KL,1500,0,1500,1,1500,MFG Floor,1500
16546,5189-2,C0805C104K5RACTU,1500,0,1500,1,1500,MFG Floor,1500
8609,8166-20,RNF12FTD1M00,2875,1375,1500,1,1500,2103111,125
16854,6654l-5,CRCW06034K70FKEA,2480,980,1500,1,1500,MFG Floor,520
2096,7686-11,GRM219R61E106KA12D,1500,0,1500,3,1500,MFG Floor,500
19868,7946l-175,ERJ-6ENF1623V,1475,0,1475,1,1475,1502203,0
21464,8350M-255,CRCW25121R00JNEG,1400,0,1400,1,1400,MFG Floor,1400
7164,8080L-110,C1608X7R1H104K080AA,1400,0,1400,1,1400,MFG Floor,1400
11553,7798-5,C0402C120J5GACTU,1400,0,1400,1,1400,14041123,0
10326,7331-1,C0805C104J5RAC7800,1400,0,1400,1,1400,MFG Floor,1400
12403,8080L-330,CRCW060310K0FKEA,1350,0,1350,1,1350,MFG Floor,1350
38254,5540L-1,C316C104K5R5TA,1320,0,1320,1,1320,MFG Floor,1320
2254,6588-43,RC0805FR-0710KL,1250,0,1250,1,1250,MFG Floor,1250
430,7183L-1,ERJ-3EKF4701V,1247,0,1247,1,1247,MFG Floor,1247
14533,7682-11,S1MB-13-F,1220,0,1220,1,1220,MFG Floor,1220
255,8178M-180,CRCW0805220RFKEA,1200,0,1200,1,1200,MFG Floor,1200
2249,7993M-15,C0805C220J5GAC7800,1200,0,1200,1,1200,MFG Floor,1200
30077,6654l-15,UMK107B7104KA-T,1200,0,1200,1,1200,MFG Floor,1200
30076,6654l-10,UMK107BJ105KA-T,1200,0,1200,1,1200,MFG Floor,1200
8435,8070-1,UMK107AB7105KA-T,1190,0,1190,1,1190,MFG Floor,1190
8570,7669-10,2N3904TF,1175,0,1175,3,1175,MFG Floor,275
4150,6163L-11,HR2220V801R-10,1157,0,1157,1,1157,MFG Floor,1157
22732,8080L-1-425,CL31A106KBHNNNE,1150,0,1150,1,1150,MFG Floor,1150
40198,7946L-285,SZNUD3124LT1G,1100,0,1100,1,1100,MFG Floor,1100
13388,8080L-25,C1608X5R1E225K080AB,1100,0,1100,1,1100,MFG Floor,1100
981,6590-15,RMCF0805FT1K50,1100,0,1100,1,1100,MFG Floor,1100
2978,6970-G1-7,S5MC-13-F,1500,425,1075,1,1075,MFG Floor,1075
9178,6779ML-36,FRJ50E36,1070,0,1070,1,1070,MFG Floor,1070
19853,7946L-170,ERJ-6ENF2202V,1060,0,1060,1,1060,1502202,0
37723,7946l-45,C0603C333K3RACTU,1050,0,1050,1,1050,1502101,0
2049,5189-86,RC0805FR-071KL,1000,0,1000,1,1000,MFG Floor,1000
8293,7686-24,C1608X5R1V475K080AC,1000,0,1000,1,1000,MFG Floor,1000
2076,7686-15,TMK107ABJ225KA-T,1000,0,1000,1,1000,MFG Floor,1000
495,7944-36,RG1608N-103-B-T1,1000,0,1000,1,1000,MFG Floor,1000
